"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
400,"2021-01-01 00:14:35.6270","2021-01-01 00:21:16.5250",3987,"E 149 St & Jackson Ave",40.813135,-73.909235,3986,"E 149 St & Morris Ave",40.81734,-73.922962,48297,"Subscriber",1992,2
388,"2021-01-01 00:14:41.9620","2021-01-01 00:21:10.7950",4110,"Avenue D & E 10 St",40.72506551015475,-73.97515833377838,3463,"E 16 St & Irving Pl",40.735367055605394,-73.98797392845154,49964,"Subscriber",1984,1
145,"2021-01-01 00:14:42.3650","2021-01-01 00:17:08.1600",494,"W 26 St & 8 Ave",40.74734825,-73.99723551,334,"W 20 St & 7 Ave",40.74238787,-73.99726235,49581,"Subscriber",1986,1
2088,"2021-01-01 00:14:46.0270","2021-01-01 00:49:35.0140",3664,"North Moore St & Greenwich St",40.72019521437465,-74.0103006362915,422,"W 59 St & 10 Ave",40.770513,-73.988038,47178,"Subscriber",1969,2
466,"2021-01-01 00:14:53.2800","2021-01-01 00:22:40.2010",450,"W 49 St & 8 Ave",40.76227205,-73.98788205,3259,"9 Ave & W 28 St",40.74937024193277,-73.99923384189606,48415,"Subscriber",1963,1
2710,"2021-01-01 00:14:53.7560","2021-01-01 01:00:03.8780",224,"Spruce St & Nassau St",40.71146364,-74.00552427,3916,"Pearl St & Peck Slip",40.708485,-74.002751,36798,"Subscriber",1996,2
541,"2021-01-01 00:14:58.0260","2021-01-01 00:23:59.3580",3500,"E 115 St & Madison Ave",40.7989445,-73.944846,3493,"E 118 St & 3 Ave",40.799139,-73.9389152,36786,"Customer",1969,0
323,"2021-01-01 00:15:07.1250","2021-01-01 00:20:30.9560",320,"Leonard St & Church St",40.717571,-74.005549,3260,"Mercer St & Bleecker St",40.72706363348306,-73.99662137031554,36617,"Subscriber",2000,1
126,"2021-01-01 00:15:18.8020","2021-01-01 00:17:25.0250",3671,"E 81 St & 2 Ave",40.774779448957275,-73.95427465438843,3147,"E 85 St & 3 Ave",40.77801203,-73.95407149,48639,"Subscriber",1990,1
496,"2021-01-01 00:15:41.2110","2021-01-01 00:23:57.9370",324,"DeKalb Ave & Hudson Ave",40.689888,-73.981013,3388,"President St & Henry St",40.6828003,-73.99990419,27579,"Subscriber",1965,2
713,"2021-01-01 00:16:17.1500","2021-01-01 00:28:10.7530",238,"Bank St & Washington St",40.7361967,-74.00859207,2008,"Little West St & 1 Pl",40.70569254,-74.01677685,47844,"Subscriber",1969,2
246,"2021-01-01 00:16:29.4480","2021-01-01 00:20:35.9090",3170,"W 84 St & Columbus Ave",40.78499979,-73.97283406,3172,"W 74 St & Columbus Ave",40.7785669,-73.97754961,29924,"Subscriber",1994,2
984,"2021-01-01 00:16:37.0710","2021-01-01 00:33:01.7770",3443,"W 52 St & 6 Ave",40.76132983124814,-73.97982001304626,3140,"1 Ave & E 78 St",40.77140426,-73.9535166,36527,"Subscriber",1981,2
601,"2021-01-01 00:16:47.5970","2021-01-01 00:26:49.0640",364,"Lafayette Ave & Classon Ave",40.68900443,-73.96023854,3059,"Pulaski St & Marcus Garvey Blvd",40.6933982,-73.939877,37850,"Subscriber",1976,2
1090,"2021-01-01 00:16:53.1610","2021-01-01 00:35:03.5710",2000,"Front St & Washington St",40.70255088,-73.98940236,242,"Carlton Ave & Flushing Ave",40.697787,-73.973736,47111,"Subscriber",1985,1
1141,"2021-01-01 00:17:13.4480","2021-01-01 00:36:15.0930",3323,"W 106 St & Central Park West",40.7981856,-73.9605909006,3282,"5 Ave & E 88 St",40.78307,-73.95939,38856,"Subscriber",1968,1
